url,ip_address,label,client_id
https://www.python.org/blog,76.76.2.0,0,3
https://microsoft.com/help,9.9.9.9,0,3
https://docs.google.com/search,8.8.8.8,0,3
http://login.verify.google-signin-update-18902.work/verify/account,185.188.181.37,1,3
http://accounts.security.bank-account-verify-46986.top/login,185.190.118.220,1,3
http://accounts.security.apple-account-verify-36643.xyz/login?continue=signin&auth=1,185.99.246.50,1,3
http://185.43.54.209/password/recover,185.187.152.111,1,3
https://www.streamlit.io/home,1.1.1.1,0,3
https://support.wikipedia.org/about?q=python,8.8.8.8,0,3
https://www.google.com/help,76.76.2.0,0,3
https://security.wallet-confirm-wallet-99868.buzz/invoice,185.102.20.235,1,3
https://microsoft.com/news?q=python,1.1.1.1,0,3
https://support.python.org/help,1.1.1.1,0,3
http://bbc.com/blog,1.1.1.1,0,3
https://support.bbc.com/blog,9.9.9.9,0,3
https://support.cloudflare.com/docs,9.9.9.9,0,3
https://docs.microsoft.com/docs?q=privacy,76.76.2.0,0,3
http://bank-secure-login-22831.info/webscr?continue=signin&auth=1,185.146.189.108,1,3
https://security.bank-signin-update-16701.info/invoice?redirect=https%3A%2F%2Fexample.com,185.155.9.47,1,3
http://login.verify.google-account-verify-73775.live/webscr?redirect=https%3A%2F%2Fexample.com,185.173.12.196,1,3
https://www.apple.com/search,9.9.9.9,0,3
http://login.verify.netflix-account-verify-96201.live/login?continue=signin&auth=1,185.70.249.148,1,3
http://bank-secure-login-72119.work/login,185.95.116.58,1,3
https://apple.com/products,9.9.9.9,0,3
https://docs.amazon.com/blog,8.8.8.8,0,3
http://netflix-confirm-wallet-84899.buzz/password/recover?continue=signin&auth=1,185.45.12.243,1,3
http://security.microsoft-account-verify-91670.work/invoice?redirect=https%3A%2F%2Fexample.com,185.167.179.176,1,3
https://docs.amazon.com/blog,76.76.2.0,0,3
https://login.verify.netflix-confirm-wallet-74215.top/login,185.127.5.32,1,3
https://security.netflix-auth-support-77902.top/password/recover,185.81.81.67,1,3
https://www.wikipedia.org/products,76.76.2.0,0,3
https://support.stackoverflow.com/products,9.9.9.9,0,3
http://amazon-account-verify-60415.info/verify/account?continue=signin&auth=1,185.195.53.94,1,3
https://support.streamlit.io/search,76.76.2.0,0,3
http://security.paypal-secure-login-90240.work/login,185.168.87.239,1,3
https://mit.edu/products,76.76.2.0,0,3
http://security.wallet-account-verify-67235.xyz/login,185.71.45.186,1,3
http://login.verify.microsoft-auth-support-30794.support/verify/account?continue=signin&auth=1,185.88.19.75,1,3
https://docs.wikipedia.org/help,9.9.9.9,0,3
http://185.43.96.89/password/recover,185.125.125.129,1,3
http://accounts.security.wallet-signin-update-90884.buzz/webscr,185.25.205.215,1,3
https://microsoft.com/home,208.67.222.222,0,3
http://security.wallet-auth-support-90022.xyz/login?redirect=https%3A%2F%2Fexample.com,185.69.81.210,1,3
http://accounts.security.bank-confirm-wallet-9364.live/password/recover?redirect=https%3A%2F%2Fexample.com,185.56.102.110,1,3
http://accounts.security.apple-signin-update-24083.top/password/recover,185.160.70.194,1,3
http://login.verify.netflix-auth-support-54286.info/password/recover,185.210.18.95,1,3
http://microsoft-account-verify-92471.top/webscr,185.128.172.223,1,3
https://www.streamlit.io/home,9.9.9.9,0,3
http://google-account-verify-66649.xyz/invoice,185.76.67.86,1,3
https://www.nytimes.com/help,76.76.2.0,0,3
https://docs.cloudflare.com/docs?q=python,76.76.2.0,0,3
